threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.451,1278,15,0.149512,B,A,B,True,False,False,-15.8089,-15.7437,0.0652062,0.63258,-0.171479,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.572250891244039, ""B"": -15.743729731300846, ""C"": -20.054778370038548, ""D"": -16.031262271106243}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.451,1267,15,0.0300112,B,B,B,True,True,True,-17.0755,-17.3837,-0.308194,0.233699,0.121697,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.505439088330604, ""B"": -17.383741830839426, ""C"": -18.33805683813989, ""D"": -20.63473493186757}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
0.452,1278,15,0.029162,B,A,B,True,False,False,-15.8089,-15.5856,0.223313,0.63258,-0.111913,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.473710363265127, ""B"": -15.585623467515688, ""C"": -20.145020363393996, ""D"": -16.108118862262927}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.452,1267,15,0.029369,B,B,B,True,True,True,-17.0755,-17.1553,-0.0797024,0.233699,0.0589564,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.214206549164373, ""B"": -17.155250197538408, ""C"": -18.1079863011837, ""D"": -20.07250109827146}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
0.453,1278,15,0.0283656,B,A,B,True,False,False,-15.8089,-16.0549,-0.245968,0.63258,-0.173084,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.881820652633905, ""B"": -16.054904406395508, ""C"": -20.115635158348596, ""D"": -16.691612844588235}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.453,1267,15,0.0297359,B,A,B,True,False,False,-17.0755,-17.1905,-0.114911,0.233699,-0.0112614,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.17919753229944, ""B"": -17.190458889803267, ""C"": -18.25419065542519, ""D"": -20.49834048282355}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
0.454,1278,15,0.0289555,B,A,B,True,False,False,-15.8089,-15.7055,0.103449,0.63258,-0.107662,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.597824558150023, ""B"": -15.705486981139984, ""C"": -20.07994597624929, ""D"": -16.163331543793902}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.454,1267,15,0.0294713,B,A,B,True,False,False,-17.0755,-17.3311,-0.255533,0.233699,-0.0379079,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.293172975070775, ""B"": -17.331080877309432, ""C"": -18.33901309967041, ""D"": -20.760648258496076}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
0.455,1278,15,0.0283614,B,B,B,True,True,True,-15.8089,-15.5804,0.228562,0.63258,0.0176478,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.598022263264284, ""B"": -15.580374469223898, ""C"": -20.013981145457365, ""D"": -16.129405165440403}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.455,1267,15,0.0280777,B,A,B,True,False,False,-17.0755,-17.5264,-0.450874,0.233699,-0.126279,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.400142668397166, ""B"": -17.526422056922456, ""C"": -18.107593331485987, ""D"": -20.71142225014046}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
0.456,1278,15,0.0291913,B,A,B,True,False,False,-15.8089,-15.4277,0.381225,0.63258,-0.108039,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.319671829929575, ""B"": -15.427711065596668, ""C"": -19.803293528122595, ""D"": -16.044635489583015}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.456,1267,15,0.0282524,B,B,B,True,True,True,-17.0755,-17.3091,-0.233587,0.233699,0.015016,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.32415113603929, ""B"": -17.309135150135262, ""C"": -18.198277305811644, ""D"": -20.498810408171266}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
0.457,1278,15,0.0283179,B,A,B,True,False,False,-15.8089,-15.8769,-0.0680079,0.63258,-0.431268,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.445675801020116, ""B"": -15.876943897572346, ""C"": -19.74641980879096, ""D"": -16.588135260448325}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
