threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.35,1262,32,0.18688,A,A,A,True,True,True,-12.3911,-16.7951,-4.40404,6.80929,2.74866,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -16.79510399379069, ""B"": -24.617654006928205, ""C"": -21.10517494659871, ""D"": -19.54376626329031}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.35,1264,32,0.0809591,A,A,A,True,True,True,-15.4029,-16.376,-0.973065,4.77104,4.33513,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -16.375995560956653, ""B"": -23.730209143064712, ""C"": -20.711121911183, ""D"": -24.498719365801662}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.35,1265,32,0.0801033,A,A,A,True,True,True,-16.6898,-20.8575,-4.16763,1.31968,0.347665,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -20.857462409883738, ""B"": -24.63952309821616, ""C"": -21.20512745162705, ""D"": -24.83516836166382}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.35,1257,32,0.0791785,A,A,A,True,True,True,-12.7524,-17.113,-4.36054,5.57247,3.48801,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -17.112981009297073, ""B"": -20.600986540317535, ""C"": -29.52598863840103, ""D"": -22.8510727789253}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.35,1258,32,0.0787951,A,A,A,True,True,True,-15.4685,-15.0319,0.436643,2.53602,1.98984,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -15.031889978796244, ""B"": -29.227404206991196, ""C"": -17.021726220846176, ""D"": -23.15792018175125}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.35,1265,32,0.078209,A,D,A,True,False,False,-15.4863,-19.5556,-4.06933,2.33835,-2.02799,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -19.555642957799137, ""B"": -20.3230652064085, ""C"": -31.34536026418209, ""D"": -17.52765290439129}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.35,1261,32,0.0771279,A,A,A,True,True,True,-13.9754,-15.1185,-1.14313,2.42178,2.39917,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -15.118515094742179, ""B"": -17.517685237315163, ""C"": -17.6425451526884, ""D"": -21.06562004078262}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.35,1272,32,0.0787148,A,A,A,True,True,True,-13.7068,-16.4472,-2.74045,1.93063,1.28749,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -16.447218928076836, ""B"": -17.73470946357702, ""C"": -19.936576229752973, ""D"": -23.391131126205437}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.35,1269,32,0.089001,A,A,A,True,True,True,-14.9388,-14.7882,0.150667,1.38537,2.27737,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.788163414341398, ""B"": -17.06553501576127, ""C"": -19.035584211349487, ""D"": -24.229860339313745}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.5,1262,5,0.0150943,A,A,A,True,True,True,-12.3911,-13.3931,-1.002,6.80929,6.56016,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.393068079647492, ""B"": -24.609965179115534, ""C"": -19.95322789857164, ""D"": -20.600239219631476}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
