threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question,default_compressed_heads,adaptive_dropped_heads,effective_entry_saving_fraction
0.901,1262,80,0.415823,A,A,A,True,True,True,-12.3911,-8.8071,3.58396,6.80929,9.65278,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -8.8071044908138, ""B"": -22.866852161241695, ""C"": -18.45988845312968, ""D"": -20.10619185186806}",text_only,route_phase1,Which method is listed as Phase 1 in the route?,80,0,0.177455
0.901,1264,80,0.280829,A,A,A,True,True,True,-15.4029,-13.8222,1.58078,4.77104,4.30347,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -13.822153750807047, ""B"": -19.731711465845365, ""C"": -18.12561967363581, ""D"": -22.67063086736016}",text_only,route_phase2,Which item is listed as Phase 2 in the route?,80,0,0.177455
0.901,1265,79,0.274309,A,A,A,True,True,True,-16.6898,-15.6995,0.99036,1.31968,0.350349,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.6994769112207, ""B"": -16.04982570715947, ""C"": -20.905813668265182, ""D"": -20.946709856390953}",text_only,route_phase3,Which method is listed as Phase 3 in the route?,80,1,0.176339
0.901,1257,80,0.28773,A,A,A,True,True,True,-12.7524,-12.9203,-0.167862,5.57247,6.61498,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.920304778963327, ""B"": -19.535283591598272, ""C"": -25.447504833340645, ""D"": -20.747934982180595}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?,80,0,0.177455
0.901,1258,79,0.278115,A,A,A,True,True,True,-15.4685,-18.3727,-2.90417,2.53602,0.034438,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -18.372700817883015, ""B"": -27.37847888469696, ""C"": -18.407138854265213, ""D"": -22.13336604088545}",text_only,quest_decode_selection,"During decode, what does Quest select?",80,1,0.176339
0.901,1265,80,0.282355,A,A,A,True,True,True,-15.4863,-13.3274,2.1589,2.33835,2.70497,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -13.327408952492988, ""B"": -19.37073976173997, ""C"": -28.48437701072544, ""D"": -16.032378427684307}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?,80,0,0.177455
0.901,1261,80,0.285394,A,A,A,True,True,True,-13.9754,-12.8702,1.10519,2.42178,2.02896,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.870202336460352, ""B"": -14.899161960432139, ""C"": -16.151951272040606, ""D"": -16.5632116218909}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?,80,0,0.177455
0.901,1272,80,0.283912,A,A,A,True,True,True,-13.7068,-11.3319,2.37482,1.93063,2.75585,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -11.331949881910987, ""B"": -14.279770504159387, ""C"": -14.087801878049504, ""D"": -15.910055346539593}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?,80,0,0.177455
0.901,1269,80,0.279769,A,A,A,True,True,True,-14.9388,-14.1496,0.789185,1.38537,0.22626,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.149644802178955, ""B"": -14.37590436276514, ""C"": -15.879719652235508, ""D"": -18.102360444841906}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?,80,0,0.177455
0.901,1278,80,0.281697,B,B,B,True,True,True,-15.8089,-14.2911,1.51786,0.63258,3.02069,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -17.311769232852384, ""B"": -14.291074448876316, ""C"": -19.56505800526793, ""D"": -17.844088486861438}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?,80,0,0.177455
0.901,1277,80,0.278707,A,A,A,True,True,True,-14.712,-15.6984,-0.986414,1.81889,2.21422,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.698390990961343, ""B"": -17.97345391275303, ""C"": -17.912613067543134, ""D"": -21.93418674217537}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?,80,0,0.177455
0.901,1266,79,0.277336,B,B,B,True,True,True,-15.1276,-15.2085,-0.0808323,0.25,0.125,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.333463575690985, ""B"": -15.208463575690985, ""C"": -17.750584108172916, ""D"": -21.542134825023822}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?,80,1,0.176339
0.901,1267,79,0.275073,B,B,B,True,True,True,-17.0755,-17.3833,-0.307716,0.233699,0.0320492,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.41531275078887, ""B"": -17.38326357506594, ""C"": -19.03072805982083, ""D"": -20.603916470427066}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?,80,1,0.176339
