threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.951,1262,16,0.168605,A,A,A,True,True,True,-12.3911,-9.97414,2.41692,6.80929,8.44358,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -9.974141567596234, ""B"": -23.068628390552476, ""C"": -18.417724684113637, ""D"": -19.594988125882082}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.951,1264,16,0.0559149,A,A,A,True,True,True,-15.4029,-14.6052,0.797778,4.77104,4.92251,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.6051532990532, ""B"": -21.214202736293373, ""C"": -19.527663425309584, ""D"": -23.081905288723647}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.951,1265,16,0.0562314,A,A,A,True,True,True,-16.6898,-15.758,0.931883,1.31968,0.399406,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.757954443688504, ""B"": -16.1573602911958, ""C"": -20.390416131356687, ""D"": -21.856725677847862}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.951,1257,16,0.0558966,A,A,A,True,True,True,-12.7524,-12.5459,0.206559,5.57247,5.56786,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.545884577557445, ""B"": -18.113745257258415, ""C"": -24.07507736980915, ""D"": -20.453100946731865}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.951,1258,16,0.0560592,A,A,A,True,True,True,-15.4685,-17.5894,-2.12082,2.53602,0.166131,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.589355912525207, ""B"": -26.28182077407837, ""C"": -17.75548692047596, ""D"": -22.294500339776278}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.951,1265,16,0.0555842,A,A,A,True,True,True,-15.4863,-14.854,0.632267,2.33835,2.40618,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -14.854044887411874, ""B"": -18.654474193346687, ""C"": -30.080956753809005, ""D"": -17.260224981233478}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.951,1261,16,0.0558571,A,A,A,True,True,True,-13.9754,-13.0616,0.913807,2.42178,2.38348,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.061581569723785, ""B"": -15.445063037309865, ""C"": -15.950426823459566, ""D"": -16.96031512583147}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.951,1272,16,0.0555318,A,A,A,True,True,True,-13.7068,-11.8649,1.8419,1.93063,2.06835,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -11.864869454300788, ""B"": -13.933215388955432, ""C"": -15.351109070732491, ""D"": -15.759160317003989}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.951,1269,16,0.0567687,A,A,A,True,True,True,-14.9388,-14.9764,-0.0375512,1.38537,1.39345,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.976381141808815, ""B"": -16.369833983852004, ""C"": -17.871802113950253, ""D"": -20.206164279254153}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.951,1278,16,0.0558941,B,B,B,True,True,True,-15.8089,-14.5373,1.27163,0.63258,1.20896,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.746264312416315, ""B"": -14.537303122400772, ""C"": -20.325004821221228, ""D"": -16.564811608521268}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.951,1277,16,0.0559505,A,A,A,True,True,True,-14.712,-15.2838,-0.571781,1.81889,0.782445,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.283757775221602, ""B"": -16.46017640273203, ""C"": -16.06620277860202, ""D"": -21.36835132725537}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.951,1266,16,0.0561965,B,B,B,True,True,True,-15.1276,-16.5643,-1.43665,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -16.814277170225978, ""B"": -16.564277170225978, ""C"": -18.757417963744956, ""D"": -22.926295643730555}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.951,1267,16,0.0569093,B,B,B,True,True,True,-17.0755,-17.1735,-0.0979955,0.233699,0.859051,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -18.032594275515294, ""B"": -17.173543373010034, ""C"": -19.492045825347304, ""D"": -19.281117875594646}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
