threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.35,1262,63,0.298244,A,A,A,True,True,True,-12.3911,-18.0307,-5.63961,6.80929,1.47132,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -18.03067455010023, ""B"": -25.2912605041638, ""C"": -21.25806614384055, ""D"": -19.501993091369513}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.35,1264,63,0.155223,A,C,A,True,False,False,-15.4029,-29.4171,-14.0142,4.77104,-8.94814,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -29.417123712599277, ""B"": -24.508617731084087, ""C"": -20.468982921447605, ""D"": -22.987372685223818}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.35,1265,63,0.158101,A,C,A,True,False,False,-16.6898,-21.5059,-4.81607,1.31968,-0.231027,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -21.50591086782515, ""B"": -25.141137610306032, ""C"": -21.27488341438584, ""D"": -25.834973573684692}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.35,1257,63,0.155793,A,A,A,True,True,True,-12.7524,-15.9094,-3.15694,5.57247,3.41936,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -15.909387098625302, ""B"": -19.32874685525894, ""C"": -29.402075171470642, ""D"": -23.023263577371836}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.35,1258,63,0.15884,A,C,A,True,False,False,-15.4685,-17.4827,-2.01418,2.53602,-1.2104,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.48271606862545, ""B"": -26.49709913134575, ""C"": -16.27231654524803, ""D"": -25.267542004585266}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.35,1265,63,0.151619,A,D,A,True,False,False,-15.4863,-18.6723,-3.18595,2.33835,-1.85171,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -18.67225800920278, ""B"": -20.38754090294242, ""C"": -30.30205382220447, ""D"": -16.820550814270973}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.35,1261,63,0.176482,A,A,A,True,True,True,-13.9754,-12.3906,1.58477,2.42178,3.77238,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.390620386227965, ""B"": -16.16300047927507, ""C"": -17.015188583172858, ""D"": -19.907883521975236}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.35,1272,63,0.154264,A,A,A,True,True,True,-13.7068,-16.7346,-3.02785,1.93063,1.02456,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -16.734619483875576, ""B"": -17.759176502004266, ""C"": -19.529399239923805, ""D"": -22.909905923974293}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.35,1269,63,0.154807,A,A,A,True,True,True,-14.9388,-13.1097,1.82915,1.38537,3.60631,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -13.109684052178636, ""B"": -16.715992732613813, ""C"": -18.046802431344986, ""D"": -23.316973817534745}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.5,1262,11,0.0349982,A,A,A,True,True,True,-12.3911,-13.3959,-1.00479,6.80929,6.56045,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.395853260721196, ""B"": -24.855931392870843, ""C"": -19.956303596496582, ""D"": -20.844216179812065}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.5,1264,11,0.0313134,A,A,A,True,True,True,-15.4029,-16.2132,-0.810263,4.77104,3.38892,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -16.21319364235751, ""B"": -20.428949408360495, ""C"": -19.602110534207895, ""D"": -24.15475777257234}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.5,1265,11,0.0321647,A,A,A,True,True,True,-16.6898,-17.2386,-0.548725,1.31968,1.10595,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -17.2385623708833, ""B"": -18.34451485562022, ""C"": -20.9075351505453, ""D"": -22.73495501279831}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.5,1257,11,0.0308562,A,A,A,True,True,True,-12.7524,-11.7374,1.01506,5.57247,5.95817,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.73738651163876, ""B"": -17.695555444806814, ""C"": -24.48328041099012, ""D"": -21.37778055295348}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.5,1258,11,0.0343837,A,A,A,True,True,True,-15.4685,-14.4163,1.05227,2.53602,3.45025,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -14.416264726081863, ""B"": -25.288817742839456, ""C"": -17.866516469046474, ""D"": -22.89140698313713}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.5,1265,11,0.030687,A,A,A,True,True,True,-15.4863,-16.6253,-1.139,2.33835,1.2264,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -16.62530842021806, ""B"": -19.578002298716456, ""C"": -29.98394415061921, ""D"": -17.851711555966176}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.5,1261,11,0.0314267,A,A,A,True,True,True,-13.9754,-13.2549,0.720508,2.42178,3.48558,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.254880478372797, ""B"": -16.740456190410896, ""C"": -18.866294740932062, ""D"": -17.99463234715813}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.5,1272,11,0.0310465,A,A,A,True,True,True,-13.7068,-15.6953,-1.98853,1.93063,0.541242,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -15.69530370827124, ""B"": -16.236545831874537, ""C"": -21.2701637072023, ""D"": -19.795718847803073}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.5,1269,11,0.0264908,A,A,A,True,True,True,-14.9388,-14.3256,0.61322,1.38537,2.74788,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.325609743507812, ""B"": -17.073484778331476, ""C"": -17.578510258346796, ""D"": -20.936177859082818}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
