threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.45,1262,17,0.176177,A,A,A,True,True,True,-12.3911,-13.8435,-1.45241,6.80929,5.84431,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.843471803003922, ""B"": -25.411988456500694, ""C"": -19.687783386325464, ""D"": -19.966056289878907}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.45,1264,17,0.0616594,A,A,A,True,True,True,-15.4029,-16.003,-0.600048,4.77104,3.81323,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -16.00297841639258, ""B"": -21.507805461564203, ""C"": -19.816203489433974, ""D"": -23.067971935728565}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.45,1265,17,0.0629892,A,A,A,True,True,True,-16.6898,-17.5399,-0.850034,1.31968,1.72083,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -17.53987136646174, ""B"": -19.260698230209528, ""C"": -20.0456286566332, ""D"": -22.13555057346821}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.45,1257,17,0.0593496,A,A,A,True,True,True,-12.7524,-12.4096,0.342833,5.57247,5.86613,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.409610242582858, ""B"": -18.275737591087818, ""C"": -24.9170930236578, ""D"": -21.625341217964888}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.45,1258,17,0.0610853,A,A,A,True,True,True,-15.4685,-14.9761,0.492393,2.53602,3.24236,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -14.976140450453386, ""B"": -26.004551202058792, ""C"": -18.218503074720502, ""D"": -22.831404236145318}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.45,1265,17,0.0607361,A,A,A,True,True,True,-15.4863,-17.1439,-1.65759,2.33835,0.879621,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -17.14390170155093, ""B"": -19.94215773511678, ""C"": -29.23320383252576, ""D"": -18.023523132666014}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.45,1261,17,0.0605174,A,A,A,True,True,True,-13.9754,-13.9039,0.0714608,2.42178,2.32104,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.903927978128195, ""B"": -16.224967690869562, ""C"": -18.4145225873217, ""D"": -17.353274945296562}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.45,1272,17,0.066749,A,A,A,True,True,True,-13.7068,-15.2798,-1.57305,1.93063,0.801784,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -15.279820868596289, ""B"": -16.081605017141555, ""C"": -19.842893927707337, ""D"": -18.51158292650507}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.45,1269,17,0.0620439,A,A,A,True,True,True,-14.9388,-16.5411,-1.60228,1.38537,1.26778,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -16.541112603910733, ""B"": -17.80889523011865, ""C"": -19.884637728333473, ""D"": -21.772968219593167}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.45,1278,17,0.0589172,B,A,B,True,False,False,-15.8089,-15.8663,-0.0573999,0.63258,-0.10185,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.764486033003777, ""B"": -15.86633591473219, ""C"": -20.240350397434668, ""D"": -16.391993058263324}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.45,1277,17,0.0624999,A,A,A,True,True,True,-14.712,-15.2209,-0.508927,1.81889,2.06082,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.220903597655706, ""B"": -17.281724734028103, ""C"": -18.058347920887172, ""D"": -22.897222195751965}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.45,1266,17,0.0693803,B,B,B,True,True,True,-15.1276,-15.7336,-0.606006,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.983637745026499, ""B"": -15.733637745026499, ""C"": -18.97399479708838, ""D"": -23.120099545572884}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.45,1267,17,0.0613743,B,A,B,True,False,False,-17.0755,-17.2079,-0.132321,0.233699,-0.211,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -16.996869218419306, ""B"": -17.20786874006444, ""C"": -18.241676080971956, ""D"": -20.45116921328008}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
