threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.88,1262,224,0.950642,A,D,A,True,False,False,-12.3911,-43.0759,-30.6848,6.80929,-17.763,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -43.07586196064949, ""B"": -46.60443639755249, ""C"": -30.11562728881836, ""D"": -25.312900066375732}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.88,1264,224,0.763257,A,D,A,True,False,False,-15.4029,-37.0837,-21.6807,4.77104,-3.29189,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -37.0836763381958, ""B"": -36.536027908325195, ""C"": -36.9890251159668, ""D"": -33.79178428649902}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.88,1265,224,0.767187,A,C,A,True,False,False,-16.6898,-75.5105,-58.8207,1.31968,-37.3283,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -75.51051998138428, ""B"": -44.815155267715454, ""C"": -38.18220853805542, ""D"": -40.55308151245117}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.88,1257,224,0.76426,A,C,A,True,False,False,-12.7524,-47.1973,-34.4448,5.57247,-11.6836,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -47.19727802276611, ""B"": -37.3676118850708, ""C"": -35.513638496398926, ""D"": -41.26521301269531}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.88,1258,224,0.761188,A,C,A,True,False,False,-15.4685,-57.4518,-41.9833,2.53602,-26.8952,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -57.45178937911987, ""B"": -38.10756206512451, ""C"": -30.556612968444824, ""D"": -39.16788387298584}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.88,1265,224,0.757194,A,D,A,True,False,False,-15.4863,-41.9615,-26.4752,2.33835,-6.76835,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -41.96151597518474, ""B"": -40.092477798461914, ""C"": -49.77542591094971, ""D"": -35.19316577911377}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.88,1261,224,0.766818,A,C,A,True,False,False,-13.9754,-39.7289,-25.7535,2.42178,-14.768,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -39.72888517379761, ""B"": -27.943409238010645, ""C"": -24.960853815078735, ""D"": -53.50896859169006}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.88,1272,224,0.747234,A,A,A,True,True,True,-13.7068,-37.973,-24.2663,1.93063,2.1379,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -37.97302323579788, ""B"": -40.11091881990433, ""C"": -41.17250919342041, ""D"": -46.209993839263916}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.88,1269,224,0.773531,A,B,A,True,False,False,-14.9388,-51.7258,-36.787,1.38537,-12.2039,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -51.72582483291626, ""B"": -39.52188551425934, ""C"": -47.86302995681763, ""D"": -46.32893133163452}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.88,1278,224,0.746098,B,B,B,True,True,True,-15.8089,-34.6776,-18.8687,0.63258,1.01472,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -42.180891156196594, ""B"": -34.67761781811714, ""C"": -48.85153019428253, ""D"": -35.69233846664429}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.88,1277,224,0.759596,A,C,A,True,False,False,-14.712,-98.1069,-83.395,1.81889,-51.2037,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -98.10694289207458, ""B"": -56.65967607498169, ""C"": -46.90324926376343, ""D"": -47.32244825363159}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.88,1266,224,0.757414,B,A,B,True,False,False,-15.1276,-31.0865,-15.9588,0.25,-2.625,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -28.461478233337402, ""B"": -31.086478233337402, ""C"": -34.68764925003052, ""D"": -33.97080039978027}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.88,1267,224,0.766227,B,C,B,True,False,False,-17.0755,-46.9547,-29.8792,0.233699,-8.58495,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -62.06605625152588, ""B"": -46.9547324180603, ""C"": -38.36978530883789, ""D"": -56.148860931396484}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
