threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.901,1262,9,0.152519,A,A,A,True,True,True,-12.3911,-10.4636,1.92747,6.80929,7.76777,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.463589833612787, ""B"": -22.718086614040658, ""C"": -18.231356969452463, ""D"": -19.641895322645723}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.901,1264,9,0.0313548,A,A,A,True,True,True,-15.4029,-14.5116,0.891357,4.77104,5.37175,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.511574294345337, ""B"": -20.61011168361074, ""C"": -19.88332532334607, ""D"": -23.60076967938221}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.901,1265,9,0.031436,A,A,A,True,True,True,-16.6898,-15.1528,1.53699,1.31968,1.2176,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.152842540759593, ""B"": -16.37044744483137, ""C"": -20.647560080153198, ""D"": -22.024111218750477}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.901,1257,9,0.0319905,A,A,A,True,True,True,-12.7524,-11.8994,0.853037,5.57247,6.3999,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.899406613782048, ""B"": -18.299310106784105, ""C"": -24.653089322149754, ""D"": -21.01986362785101}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.901,1258,9,0.0316291,A,A,A,True,True,True,-15.4685,-16.7347,-1.26616,2.53602,0.933447,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.7346943882294, ""B"": -25.49276316165924, ""C"": -17.66814148426056, ""D"": -22.20091906376183}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.901,1265,9,0.0313661,A,A,A,True,True,True,-15.4863,-15.8139,-0.327626,2.33835,1.45169,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -15.81393699295586, ""B"": -19.366092780372128, ""C"": -30.790621858090162, ""D"": -17.265623692423105}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.901,1261,9,0.0318774,A,A,A,True,True,True,-13.9754,-13.3278,0.647623,2.42178,2.45915,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.327765271998942, ""B"": -15.786911792793035, ""C"": -16.7872563500423, ""D"": -17.92742773075429}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.901,1272,9,0.0315339,A,A,A,True,True,True,-13.7068,-13.0957,0.61112,1.93063,1.61611,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -13.095652752446767, ""B"": -14.711764232692076, ""C"": -16.472991979157086, ""D"": -17.49814494891325}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.901,1269,9,0.0308983,A,A,A,True,True,True,-14.9388,-14.7289,0.209898,1.38537,1.3929,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.728931928199017, ""B"": -16.121836176112993, ""C"": -17.34441401064396, ""D"": -19.017434015171602}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.901,1278,9,0.0313167,B,B,B,True,True,True,-15.8089,-15.0699,0.739008,0.63258,1.70845,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.778373294277117, ""B"": -15.069927835662384, ""C"": -21.175821607364924, ""D"": -17.23722164775245}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.901,1277,9,0.0314962,A,A,A,True,True,True,-14.712,-15.3219,-0.609914,1.81889,1.57547,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.321890439707204, ""B"": -16.89736231601273, ""C"": -16.95342626213096, ""D"": -22.59933746000752}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.901,1266,9,0.0313596,B,B,B,True,True,True,-15.1276,-15.4416,-0.313948,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.691579625941813, ""B"": -15.441579625941813, ""C"": -19.241115665310645, ""D"": -23.494000004720874}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.901,1267,9,0.031186,B,B,B,True,True,True,-17.0755,-17.3625,-0.28691,0.233699,0.502091,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.86454935738584, ""B"": -17.36245828805113, ""C"": -19.406694231554866, ""D"": -19.52726211072877}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
