threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.901,1262,80,6.60296,A,A,A,True,True,True,-12.3911,-8.21781,4.17325,6.80929,9.65255,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -8.217811347392853, ""B"": -22.458039214718156, ""C"": -17.870356815401465, ""D"": -19.605462081446603}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.901,1264,80,6.36126,A,A,A,True,True,True,-15.4029,-14.0172,1.38574,4.77104,4.23009,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.017194641754031, ""B"": -19.97574674909447, ""C"": -18.247287401463836, ""D"": -22.962771638296545}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.901,1265,80,6.39882,A,B,A,True,False,False,-16.6898,-15.2909,1.39892,1.31968,-0.298251,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.29091245913878, ""B"": -14.992661904281704, ""C"": -20.66957626684598, ""D"": -20.922951318323612}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.901,1257,80,6.38239,A,A,A,True,True,True,-12.7524,-13.0799,-0.327417,5.57247,6.60283,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -13.079860046505928, ""B"": -19.682687185704708, ""C"": -25.962841883301735, ""D"": -20.85741003602743}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.901,1258,80,6.3267,A,A,A,True,True,True,-15.4685,-17.8384,-2.36986,2.53602,0.863113,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.83839300647378, ""B"": -27.871838182210922, ""C"": -18.701505571603775, ""D"": -22.2547809407115}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.901,1265,80,6.3668,A,A,A,True,True,True,-15.4863,-13.0403,2.44597,2.33835,2.95273,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -13.04033802144113, ""B"": -18.96006087679416, ""C"": -28.393509390414692, ""D"": -15.993072986602783}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.901,1261,80,6.33902,A,A,A,True,True,True,-13.9754,-12.5408,1.43461,2.42178,2.00261,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.540778143331409, ""B"": -14.543392586027949, ""C"": -15.672737256623805, ""D"": -16.33514075606911}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.901,1272,80,6.32455,A,A,A,True,True,True,-13.7068,-10.8866,2.82014,1.93063,2.73455,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -10.886633599126071, ""B"": -13.635256503388518, ""C"": -13.621183218667284, ""D"": -15.320352517072024}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.901,1269,80,6.35447,A,A,A,True,True,True,-14.9388,-13.8414,1.09744,1.38537,0.600366,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -13.841387755586766, ""B"": -14.441753466031514, ""C"": -15.692511834204197, ""D"": -18.303549280855805}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.901,1278,80,6.37911,B,B,B,True,True,True,-15.8089,-13.6467,2.16222,0.63258,3.34328,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.989998068194836, ""B"": -13.646719746553572, ""C"": -18.610249497833138, ""D"": -17.304611286963336}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.901,1277,80,6.34013,A,A,A,True,True,True,-14.712,-15.7067,-0.994674,1.81889,1.67009,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.706651088956278, ""B"": -17.376741161366226, ""C"": -17.618513428256847, ""D"": -21.605051052523777}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.901,1266,80,6.38144,B,A,B,True,False,False,-15.1276,-15.1459,-0.0182748,0.25,0,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.145906089805067, ""B"": -15.145906089805067, ""C"": -17.6823867443818, ""D"": -21.571409731404856}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.901,1267,80,6.34644,B,B,B,True,True,True,-17.0755,-17.0929,-0.0173514,0.233699,0.276959,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.36985787015874, ""B"": -17.09289917753631, ""C"": -19.099277371540666, ""D"": -20.320303718326613}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
