"ID","阶段","任务标题","描述","输入","输出","工作量(PD)","依赖","备注"
"T1.1","阶段一：研究调研","文献技术地图","调研 KV Cache 压缩、gist token、cross-layer/head 复原相关文献，形成技术全景图。","关键词列表","文献综述 + 技术对比表","3","无",""
"T1.2","阶段一：研究调研","Gist Doc Cache 现状梳理","深入阅读 gist doc cache 原论文及相关实现，梳理核心机制、局限与可改进点。","gist 原文及代码","技术笔记 + 改进点列表","3","T1.1",""
"T1.3","阶段一：研究调研","可行性探针实验","用现成模型可视化不同 head/layer 的 KV 相关性，验证“被裁 KV 可被其他 KV 低成本复原”这一核心假设。","预训练模型 + 长文本数据集","相关性热力图 + go/no-go 结论","5","T1.2","第一 go/no-go 关口，建议优先完成。"
"T1.4","阶段一：研究调研","Baseline 复现 + 评测框架","复现 gist doc cache baseline，搭建统一的压缩率-质量评测 pipeline。","gist 代码 + 评测数据集","可运行 baseline + 评测脚本","3","T1.2",""
"T2.1","阶段二：模型设计","问题形式化","将“基于 head/layer 相关性复原 KV”形式化为数学优化问题，定义压缩率、精度等约束。","T1.3 结论","问题定义文档","2","T1.3",""
"T2.2","阶段二：模型设计","复原方案候选设计","设计 3 种复原算子候选：跨 layer 线性插值、跨 head 低秩近似、低秩 + 残差 predictor。","T2.1 文档","方案设计文档，含复杂度分析","4","T2.1",""
"T2.3","阶段二：模型设计","复原算子接口规格","定义复原算子的输入/输出接口、显存占用上限、延迟预算。","T2.2 文档","接口规格文档","2","T2.2",""
"T3.1","阶段三：工程实现","训练数据 Pipeline","构建从长文档到 (压缩 KV, 原始 KV) 对的数据生成 pipeline。","长文本数据集","训练数据集 + data loader","4","T1.4",""
"T3.2","阶段三：工程实现","复原算子实现","实现 T2.2 中选定的复原算子，封装为 PyTorch 模块。","T2.3 接口规格","算子代码 + 单测","6","T2.3, T3.1",""
"T3.3","阶段三：工程实现","推理框架集成","将复原算子集成进 vLLM / TGI 等推理框架，实现在线实时复原。","T3.2 算子","集成 patch + 集成测试","5","T3.2",""
"T3.4","阶段三：工程实现","训练 Pipeline","实现完整的端到端训练流程，包括 loss、优化器、checkpoint。","T3.1-T3.2","训练脚本 + 配置文件","5","T3.2",""
"T3.5","阶段三：工程实现","端到端冒烟训练","小规模数据集跑通完整训练-推理链路，确认无 bug。","T3.3-T3.4","冒烟测试报告","2","T3.3, T3.4",""
"T4.1","阶段四：实验评估","压缩率-质量主实验","在多个 benchmark，如 LongBench / RULER / RAG 等，上测试不同压缩率下的质量曲线。","训练好的模型","实验结果表格","5","T3.5",""
"T4.2","阶段四：实验评估","消融实验","分别消融 head 相关性、layer 相关性、复原算子各模块的贡献。","T4.1 基础上","消融结果","4","T4.1",""
"T4.3","阶段四：实验评估","效率评估","精确测量复原算子的显存开销和延迟，计算净压缩率，考虑辅助信息开销后。","T4.1 模型","延迟/显存 profiling 报告","4","T4.1","第二 go/no-go 关口。"
"T4.4","阶段四：实验评估","泛化鲁棒性测试","在不同模型规模，如 7B/13B/70B，和不同领域文档上测试泛化性。","T4.1 模型","泛化性报告","3","T4.1",""
"T5.1","阶段五：落地上线","生产级优化","kernel fusion、量化、显存池化等工程优化，满足线上 SLA。","T4.3 报告","优化后的推理代码","5","T4.3",""
"T5.2","阶段五：落地上线","灰度部署 + 监控","上线灰度流量，配置 latency / memory / 质量监控告警。","T5.1 代码","线上服务 + 监控看板","3","T5.1",""
"T5.3","阶段五：落地上线","A/B 收益评估","统计 A/B 实验结果，量化内存节省、吞吐提升、下游指标变化。","T5.2 数据","收益报告","3","T5.2",""
"T6.1","阶段六：论文产出","论文大纲","确定论文结构、核心 contribution、目标会议，如 ACL / NeurIPS / ICLR 等。","实验结果","大纲文档","2","T4.2",""
"T6.2","阶段六：论文产出","方法 + 实验章节","撰写 Method、Experiments、Analysis 章节。","T6.1 大纲","草稿","6","T6.1",""
"T6.3","阶段六：论文产出","完整初稿","补全 Introduction、Related Work、Conclusion、Abstract。","T6.2 草稿","完整论文初稿","4","T6.2",""
"T6.4","阶段六：论文产出","内部评审 + 投稿","组织内部评审，根据反馈修改，提交目标会议。","T6.3 初稿","投稿版本","3","T6.3",""
