threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.77,1262,8,0.137632,A,A,A,True,True,True,-12.3911,-10.6685,1.72253,6.80929,7.71176,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.668535122837056, ""B"": -23.12951425695792, ""C"": -18.380293646128848, ""D"": -19.945249979864457}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.77,1264,8,0.028735,A,A,A,True,True,True,-15.4029,-14.7892,0.613692,4.77104,5.29338,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.789239011883183, ""B"": -20.966570225635223, ""C"": -20.082614573126193, ""D"": -24.065649348311126}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.77,1265,8,0.0296208,A,A,A,True,True,True,-16.6898,-15.5579,1.13189,1.31968,1.25003,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.557947075227275, ""B"": -16.80797376172268, ""C"": -20.7532526011928, ""D"": -22.341593474149704}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.77,1257,8,0.0298634,A,A,A,True,True,True,-12.7524,-11.7145,1.0379,5.57247,6.47944,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.714540830347687, ""B"": -18.193985477089882, ""C"": -25.116684142500162, ""D"": -20.94979839026928}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.77,1258,8,0.0320677,A,A,A,True,True,True,-15.4685,-16.3225,-0.853999,2.53602,1.15771,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.322532148566097, ""B"": -26.303178414702415, ""C"": -17.480238907039165, ""D"": -22.338548585772514}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.77,1265,8,0.0295269,A,A,A,True,True,True,-15.4863,-16.0593,-0.573,2.33835,1.46787,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -16.05931191239506, ""B"": -19.3304395416053, ""C"": -30.998770598322153, ""D"": -17.52718660607934}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.77,1261,8,0.0290781,A,A,A,True,True,True,-13.9754,-13.077,0.898374,2.42178,2.69336,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.077015129849315, ""B"": -15.770380040135933, ""C"": -16.64613091875799, ""D"": -17.78481499691975}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.77,1272,8,0.0294709,A,A,A,True,True,True,-13.7068,-13.2273,0.479497,1.93063,1.65248,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -13.227276221725333, ""B"": -14.87975224830734, ""C"": -16.492566301865736, ""D"": -17.642576198326424}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.77,1269,8,0.02868,A,A,A,True,True,True,-14.9388,-14.8693,0.0695076,1.38537,1.38438,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.86932227970101, ""B"": -16.253707181687787, ""C"": -17.42502449825406, ""D"": -18.96710210549645}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.77,1278,8,0.0277768,B,B,B,True,True,True,-15.8089,-15.4698,0.339115,0.63258,1.65069,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -17.120514172827825, ""B"": -15.469821462640539, ""C"": -21.387822817792767, ""D"": -17.42225932632573}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.77,1277,8,0.0298385,A,A,A,True,True,True,-14.712,-15.647,-0.935062,1.81889,1.56658,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.647038658338715, ""B"": -17.21362096638768, ""C"": -17.291577563621104, ""D"": -22.7633978840895}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.77,1266,8,0.030543,B,B,B,True,True,True,-15.1276,-15.1193,0.0083381,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.369293164694682, ""B"": -15.119293164694682, ""C"": -19.090925561016775, ""D"": -23.51596822933061}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.77,1267,8,0.041445,B,B,B,True,True,True,-17.0755,-17.2955,-0.21996,0.233699,0.554337,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.8498454055225, ""B"": -17.29550795257819, ""C"": -19.51045063883066, ""D"": -19.68555711908266}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
