threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.77,1262,8,0.729357,A,A,A,True,True,True,-12.3911,-10.6974,1.69371,6.80929,7.72696,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.697358385441476, ""B"": -23.145914601627737, ""C"": -18.42431558459066, ""D"": -19.94539351995627}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.77,1264,8,0.550912,A,A,A,True,True,True,-15.4029,-14.8119,0.591015,4.77104,5.27086,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.81191565426343, ""B"": -20.979264518351556, ""C"": -20.082776144263335, ""D"": -24.042188369086944}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.77,1265,8,0.564802,A,A,A,True,True,True,-16.6898,-15.5934,1.0964,1.31968,1.21188,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.593437920557335, ""B"": -16.805317382037174, ""C"": -20.781753743372974, ""D"": -22.38123033940792}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.77,1257,8,0.537611,A,A,A,True,True,True,-12.7524,-11.7108,1.04161,5.57247,6.45924,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.710832927376032, ""B"": -18.17007739841938, ""C"": -25.19978752732277, ""D"": -20.92825371772051}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.77,1258,8,0.538739,A,A,A,True,True,True,-15.4685,-16.3095,-0.840967,2.53602,1.18629,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.309500253293663, ""B"": -26.336493596434593, ""C"": -17.495793357491493, ""D"": -22.32389845047146}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.77,1265,8,0.543609,A,A,A,True,True,True,-15.4863,-16.0542,-0.567859,2.33835,1.46472,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -16.054170018498553, ""B"": -19.30645276478026, ""C"": -30.90590675547719, ""D"": -17.518890969455242}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.77,1261,8,0.551151,A,A,A,True,True,True,-13.9754,-13.1711,0.804318,2.42178,2.62839,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.171070481650531, ""B"": -15.799464783831354, ""C"": -16.675218215445057, ""D"": -17.815732039500745}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.77,1272,8,0.546825,A,A,A,True,True,True,-13.7068,-13.2207,0.486077,1.93063,1.6867,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -13.220695917389094, ""B"": -14.907398749506683, ""C"": -16.4939742765564, ""D"": -17.6411036842037}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.77,1269,8,0.543712,A,A,A,True,True,True,-14.9388,-14.8719,0.0668823,1.38537,1.26076,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.87194760251441, ""B"": -16.132709255402006, ""C"": -17.36979804933071, ""D"": -18.972272618906572}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.77,1278,8,0.551726,B,B,B,True,True,True,-15.8089,-15.4795,0.329474,0.63258,1.65408,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -17.133544929791242, ""B"": -15.479461794602685, ""C"": -21.400961805557017, ""D"": -17.430265925941058}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.77,1277,8,0.547251,A,A,A,True,True,True,-14.712,-15.6139,-0.901941,1.81889,1.51864,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.613917545953882, ""B"": -17.132561944861664, ""C"": -17.281545844860375, ""D"": -22.688602993497625}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.77,1266,8,0.577015,B,B,B,True,True,True,-15.1276,-15.303,-0.175412,0.25,0.125,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.428043757099658, ""B"": -15.303043757099658, ""C"": -19.20972565172997, ""D"": -23.58005975384731}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.77,1267,8,0.548474,B,B,B,True,True,True,-17.0755,-17.2874,-0.211822,0.233699,0.662625,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.949994774418883, ""B"": -17.287369961741206, ""C"": -19.485518619418144, ""D"": -19.69863974256441}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
