threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.901,1262,80,0.495747,A,A,A,True,True,True,-12.3911,-8.62423,3.76684,6.80929,9.54926,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -8.62422713759588, ""B"": -22.537805737927556, ""C"": -18.173488368745893, ""D"": -19.81279969890602}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.901,1264,80,0.356622,A,A,A,True,True,True,-15.4029,-13.2429,2.16008,4.77104,4.38576,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -13.242850620299578, ""B"": -19.412499058383673, ""C"": -17.628610377199948, ""D"": -22.221767475362867}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.901,1265,80,0.364397,A,A,A,True,True,True,-16.6898,-15.1611,1.52878,1.31968,0.00909498,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.16106058191508, ""B"": -15.170155561121646, ""C"": -20.610128796179197, ""D"": -20.67671436816454}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.901,1257,80,0.365695,A,A,A,True,True,True,-12.7524,-12.7525,-9.27784e-06,5.57247,6.81059,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.752452403306961, ""B"": -19.563044119626284, ""C"": -25.139791436493397, ""D"": -20.621391521766782}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.901,1258,80,0.355899,A,A,A,True,True,True,-15.4685,-18.0623,-2.59373,2.53602,0.460986,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -18.062258552759886, ""B"": -27.247504964470863, ""C"": -18.523244127631187, ""D"": -22.073541305959225}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.901,1265,80,0.374737,A,A,A,True,True,True,-15.4863,-12.7456,2.74069,2.33835,3.12998,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -12.745617301610764, ""B"": -18.8417292451486, ""C"": -28.429994046804495, ""D"": -15.87559238821268}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.901,1261,80,0.362924,A,A,A,True,True,True,-13.9754,-12.6051,1.37028,2.42178,1.96558,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.605106737464666, ""B"": -14.5706887785027, ""C"": -15.69834916293621, ""D"": -16.359524789120428}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.901,1272,80,0.379005,A,A,A,True,True,True,-13.7068,-11.1614,2.54535,1.93063,2.76336,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -11.161421144490305, ""B"": -13.962778278801125, ""C"": -13.92477669660002, ""D"": -15.669024766641087}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.901,1269,80,0.371874,A,A,A,True,True,True,-14.9388,-13.8013,1.13751,1.38537,0.233148,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -13.801321447215742, ""B"": -14.034469079051632, ""C"": -15.512710846960545, ""D"": -18.38098300807178}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.901,1278,80,0.362757,B,B,B,True,True,True,-15.8089,-13.8575,1.9514,0.63258,3.46527,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -17.322808073833585, ""B"": -13.857535758026643, ""C"": -18.691553203832882, ""D"": -17.350089911953546}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.901,1277,80,0.368406,A,A,A,True,True,True,-14.712,-15.6342,-0.922227,1.81889,2.21198,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.634204362984747, ""B"": -17.846180765453028, ""C"": -18.134795170277357, ""D"": -22.012565433047712}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.901,1266,80,0.363378,B,B,B,True,True,True,-15.1276,-14.8933,0.234349,0.25,0.125,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.018282311037183, ""B"": -14.893282311037183, ""C"": -17.55658244996448, ""D"": -21.17186436080374}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.901,1267,80,0.366428,B,A,B,True,False,False,-17.0755,-17.0504,0.0251956,0.233699,-0.033035,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.017317181744147, ""B"": -17.050352216865576, ""C"": -18.918484039139003, ""D"": -20.281161260791123}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
