threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.99,1262,0,0,A,A,A,True,True,True,-12.3911,-12.3911,0,6.80929,6.80929,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.99,1264,0,0,A,A,A,True,True,True,-15.4029,-15.4029,0,4.77104,4.77104,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.99,1265,0,0,A,A,A,True,True,True,-16.6898,-16.6898,0,1.31968,1.31968,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.99,1257,0,0,A,A,A,True,True,True,-12.7524,-12.7524,0,5.57247,5.57247,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.99,1258,0,0,A,A,A,True,True,True,-15.4685,-15.4685,0,2.53602,2.53602,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.99,1265,0,0,A,A,A,True,True,True,-15.4863,-15.4863,0,2.33835,2.33835,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.99,1261,0,0,A,A,A,True,True,True,-13.9754,-13.9754,0,2.42178,2.42178,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.99,1272,0,0,A,A,A,True,True,True,-13.7068,-13.7068,0,1.93063,1.93063,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.99,1269,0,0,A,A,A,True,True,True,-14.9388,-14.9388,0,1.38537,1.38537,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.99,1286,0,0,D,D,B,False,False,True,-30.9051,-30.9051,0,-9.79884,-9.79884,"{""A"": -29.367865051375702, ""B"": -30.9051340454389, ""C"": -26.957537256006617, ""D"": -21.106298227445222}","{""A"": -29.367865051375702, ""B"": -30.9051340454389, ""C"": -26.957537256006617, ""D"": -21.106298227445222}",text_only,paged_cache_shape,What existing KV cache layout is described in the status table?
