threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.945,1262,14,0.173107,A,A,A,True,True,True,-12.3911,-10.3461,2.04493,6.80929,7.86581,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.346132636012044, ""B"": -22.454296774463728, ""C"": -18.211938102031127, ""D"": -19.531680614159995}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.945,1264,14,0.0495019,A,A,A,True,True,True,-15.4029,-14.4782,0.924695,4.77104,5.01371,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.478235705621046, ""B"": -20.78093863455615, ""C"": -19.49194229103159, ""D"": -22.803477514738915}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.945,1265,14,0.0501295,A,A,A,True,True,True,-16.6898,-14.5952,2.09467,1.31968,0.464497,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -14.595168467261828, ""B"": -15.059665341759683, ""C"": -20.29665935477169, ""D"": -21.465175852179527}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.945,1257,14,0.0492733,A,A,A,True,True,True,-12.7524,-11.924,0.828409,5.57247,6.29162,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.92403401620686, ""B"": -18.215652260929346, ""C"": -23.99439151957631, ""D"": -20.797422979027033}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.945,1258,14,0.0498179,A,A,A,True,True,True,-15.4685,-16.7852,-1.31669,2.53602,0.872466,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.785223144106567, ""B"": -25.98469829559326, ""C"": -17.657689318060875, ""D"": -21.954642239026725}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.945,1265,14,0.050248,A,A,A,True,True,True,-15.4863,-14.7468,0.739537,2.33835,2.41978,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -14.746774567494867, ""B"": -18.807618571387138, ""C"": -29.967141694389284, ""D"": -17.166551616042852}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.945,1261,14,0.0497677,A,A,A,True,True,True,-13.9754,-12.5816,1.39377,2.42178,2.53223,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.581617631949484, ""B"": -15.11384871553355, ""C"": -15.865832184441388, ""D"": -16.877241383211867}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.945,1272,14,0.0498485,A,A,A,True,True,True,-13.7068,-12.6231,1.08365,1.93063,1.61981,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -12.623124704470683, ""B"": -14.242938748473534, ""C"": -15.73153827781789, ""D"": -16.648243495896168}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.945,1269,14,0.0491203,A,A,A,True,True,True,-14.9388,-14.4024,0.536421,1.38537,1.6339,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.402408633934101, ""B"": -16.03630454179074, ""C"": -17.285762675106525, ""D"": -19.809265182353556}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.945,1278,14,0.0491595,B,B,B,True,True,True,-15.8089,-14.7033,1.10566,0.63258,1.47963,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.182901483844034, ""B"": -14.703271954174852, ""C"": -20.49987774802139, ""D"": -16.81881375424564}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.945,1277,14,0.0498384,A,A,A,True,True,True,-14.712,-14.9846,-0.272659,1.81889,1.37778,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -14.984636014210992, ""B"": -16.49068665681989, ""C"": -16.362413707654923, ""D"": -21.575004414655268}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.945,1266,14,0.0492686,B,B,B,True,True,True,-15.1276,-15.333,-0.205372,0.25,0.125,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.458002879517153, ""B"": -15.333002879517153, ""C"": -18.615463164231187, ""D"": -22.728718041616958}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.945,1267,14,0.0493346,B,B,B,True,True,True,-17.0755,-17.4003,-0.324725,0.233699,0.668819,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -18.069092649035156, ""B"": -17.400273195293266, ""C"": -19.442295104265213, ""D"": -19.6205567070283}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
