threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.84,1262,32,0.229238,A,D,A,True,False,False,-12.3911,-27.6623,-15.2713,6.80929,-6.64253,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -27.66231718158815, ""B"": -29.00850275158882, ""C"": -21.069790146313608, ""D"": -21.01978460409009}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.84,1264,32,0.109826,A,A,A,True,True,True,-15.4029,-17.3922,-1.98931,4.77104,4.06497,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -17.392244804505026, ""B"": -25.918544102915803, ""C"": -21.457214519381523, ""D"": -24.542464921425562}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.84,1265,32,0.10954,A,C,A,True,False,False,-16.6898,-36.543,-19.8532,1.31968,-13.7326,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -36.54304265230894, ""B"": -28.290048157330602, ""C"": -22.810479937834316, ""D"": -32.765703201293945}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.84,1257,32,0.108244,A,B,A,True,False,False,-12.7524,-25.8613,-13.1088,5.57247,-1.21276,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -25.86128318309784, ""B"": -24.64852011203766, ""C"": -29.63560849428177, ""D"": -28.117287635803223}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.84,1258,32,0.109059,A,C,A,True,False,False,-15.4685,-30.2718,-14.8032,2.53602,-9.67183,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -30.27176284044981, ""B"": -33.170958518981934, ""C"": -20.599936485290527, ""D"": -25.86571741104126}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.84,1265,32,0.115874,A,D,A,True,False,False,-15.4863,-28.0991,-12.6128,2.33835,-8.3438,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -28.099117411416955, ""B"": -21.92919074743986, ""C"": -37.495914697647095, ""D"": -19.755321316421032}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.84,1261,32,0.108771,A,C,A,True,False,False,-13.9754,-24.9053,-10.9299,2.42178,-6.61092,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -24.905328563414514, ""B"": -19.98198809590599, ""C"": -18.294405705179088, ""D"": -26.556029427660064}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.84,1272,32,0.108517,A,A,A,True,True,True,-13.7068,-18.3302,-4.62344,1.93063,0.214499,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -18.330208271705487, ""B"": -18.544707184424624, ""C"": -25.57776680565439, ""D"": -27.3423973107856}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.84,1269,32,0.109804,A,A,A,True,True,True,-14.9388,-21.5334,-6.59461,1.38537,1.28055,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -21.53343670174945, ""B"": -22.81398759989679, ""C"": -24.851516366004944, ""D"": -27.423735555261374}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.84,1278,32,0.107694,B,B,B,True,True,True,-15.8089,-24.5857,-8.77673,0.63258,2.08983,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -28.137450127396733, ""B"": -24.58566736272769, ""C"": -33.09093102411134, ""D"": -26.675493352115154}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.84,1277,32,0.116299,A,B,A,True,False,False,-14.712,-29.7862,-15.0742,1.81889,-4.69043,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -29.786172962747514, ""B"": -25.095743029378355, ""C"": -26.30693332478404, ""D"": -28.705962878651917}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.84,1266,32,0.109208,B,B,B,True,True,True,-15.1276,-20.1487,-5.0211,0.25,0.5,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -20.64872730150819, ""B"": -20.14872730150819, ""C"": -20.91979503512266, ""D"": -24.69492987950798}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.84,1267,32,0.110237,B,B,B,True,True,True,-17.0755,-26.3063,-9.23072,0.233699,1.27819,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -33.73991211084649, ""B"": -26.306264279410243, ""C"": -27.58445556461811, ""D"": -30.56317138671875}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
