threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.949,1262,15,0.166519,A,A,A,True,True,True,-12.3911,-9.92389,2.46717,6.80929,8.1333,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -9.923888519391767, ""B"": -22.404582168906927, ""C"": -18.05719094350934, ""D"": -19.424263872399024}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.949,1264,15,0.0531102,A,A,A,True,True,True,-15.4029,-14.3556,1.04736,4.77104,5.01464,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.355570906802313, ""B"": -20.706384708435507, ""C"": -19.370214905124158, ""D"": -22.915661022852873}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.949,1265,15,0.0551159,A,A,A,True,True,True,-16.6898,-14.6046,2.08523,1.31968,0.614909,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -14.604605245753191, ""B"": -15.21951469501073, ""C"": -20.46921427516645, ""D"": -21.596142806112766}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.949,1257,15,0.0528323,A,A,A,True,True,True,-12.7524,-11.8529,0.899532,5.57247,6.41474,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.852910880930722, ""B"": -18.267649710178375, ""C"": -24.011207796633244, ""D"": -20.845613706856966}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.949,1258,15,0.0531907,A,A,A,True,True,True,-15.4685,-17.0609,-1.59241,2.53602,0.708449,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.060946602374315, ""B"": -26.158982321619987, ""C"": -17.769395366311073, ""D"": -22.06015313975513}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.949,1265,15,0.0523409,A,A,A,True,True,True,-15.4863,-14.2888,1.19752,2.33835,2.83946,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -14.28879435948329, ""B"": -18.509937219088897, ""C"": -29.90775957144797, ""D"": -17.128256645053625}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.949,1261,15,0.0523601,A,A,A,True,True,True,-13.9754,-12.5627,1.41272,2.42178,2.64371,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.562672526575625, ""B"": -15.206377586327562, ""C"": -15.833142052404583, ""D"": -16.841825286024914}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.949,1272,15,0.0524551,A,A,A,True,True,True,-13.7068,-12.6352,1.07158,1.93063,1.5265,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -12.63519487423764, ""B"": -14.16169037524378, ""C"": -15.704876876610797, ""D"": -16.74889399399399}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.949,1269,15,0.0527657,A,A,A,True,True,True,-14.9388,-14.5871,0.351775,1.38537,1.64526,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.587055081923609, ""B"": -16.23231271684199, ""C"": -17.445629715919495, ""D"": -20.196436662925407}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.949,1278,15,0.0525287,B,B,B,True,True,True,-15.8089,-14.6957,1.11325,0.63258,1.40807,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.10375348571688, ""B"": -14.695683827681933, ""C"": -20.491550440798164, ""D"": -17.06927929027006}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.949,1277,15,0.0532367,A,A,A,True,True,True,-14.712,-15.2221,-0.510099,1.81889,1.11164,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.222076282036141, ""B"": -16.772070258273743, ""C"": -16.333713746862486, ""D"": -21.833724081050605}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.949,1266,15,0.0532041,B,A,B,True,False,False,-15.1276,-15.5521,-0.424481,0.25,0,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.552112360252067, ""B"": -15.552112360252067, ""C"": -18.617717448989424, ""D"": -22.675688758550677}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.949,1267,15,0.0535469,B,B,B,True,True,True,-17.0755,-17.1785,-0.102917,0.233699,0.596674,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.77513906499371, ""B"": -17.178465280187083, ""C"": -19.240600250661373, ""D"": -19.548181666061282}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
