threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.931,1262,11,0.171526,A,A,A,True,True,True,-12.3911,-10.5181,1.87295,6.80929,7.52881,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.518111092504114, ""B"": -22.503682801499963, ""C"": -18.04691990162246, ""D"": -19.377347366116737}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.931,1264,11,0.0399385,A,A,A,True,True,True,-15.4029,-14.7913,0.611608,4.77104,4.85729,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.791322574259539, ""B"": -20.61222421513594, ""C"": -19.64861628372455, ""D"": -22.936276232183445}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.931,1265,11,0.0405163,A,A,A,True,True,True,-16.6898,-14.8547,1.83509,1.31968,1.18688,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -14.85474902333226, ""B"": -16.04162439679203, ""C"": -20.344155531664, ""D"": -21.550835244357586}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.931,1257,11,0.0397826,A,A,A,True,True,True,-12.7524,-12.5699,0.182589,5.57247,5.9013,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.569854237139225, ""B"": -18.471157003194094, ""C"": -24.754100985825062, ""D"": -20.983951799571514}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.931,1258,11,0.039649,A,A,A,True,True,True,-15.4685,-16.6245,-1.156,2.53602,0.910957,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.624532180372626, ""B"": -25.8242354542017, ""C"": -17.535489432513714, ""D"": -21.940363329835236}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.931,1265,11,0.0400736,A,A,A,True,True,True,-15.4863,-15.6562,-0.169868,2.33835,1.45878,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -15.656179842771962, ""B"": -19.17415775032714, ""C"": -30.14431009441614, ""D"": -17.11495648883283}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.931,1261,11,0.0400731,A,A,A,True,True,True,-13.9754,-13.0901,0.885284,2.42178,2.63497,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.09010485559702, ""B"": -15.72507562462215, ""C"": -16.476284213364124, ""D"": -17.364554790883403}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.931,1272,11,0.039652,A,A,A,True,True,True,-13.7068,-13.3382,0.368575,1.93063,1.55482,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -13.338197784585645, ""B"": -14.893014717032202, ""C"": -16.510679389350116, ""D"": -17.399626514736156}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.931,1269,11,0.0397575,A,A,A,True,True,True,-14.9388,-15.4948,-0.556014,1.38537,1.4034,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -15.49484380116337, ""B"": -16.898245231954206, ""C"": -17.983331421390176, ""D"": -19.29199443385005}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.931,1278,11,0.0395009,B,B,B,True,True,True,-15.8089,-14.8338,0.97514,0.63258,1.60091,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.434708238695748, ""B"": -14.833795821352396, ""C"": -20.949453827925026, ""D"": -17.225849449750967}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.931,1277,11,0.0399379,A,A,A,True,True,True,-14.712,-15.1565,-0.444521,1.81889,1.54188,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.156497830248554, ""B"": -16.95120721917192, ""C"": -16.698381834779866, ""D"": -22.28518497827463}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.931,1266,11,0.039847,B,B,B,True,True,True,-15.1276,-15.7358,-0.608201,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.985832188744098, ""B"": -15.735832188744098, ""C"": -18.777959418435785, ""D"": -22.78869180311449}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.931,1267,11,0.0402116,B,B,B,True,True,True,-17.0755,-17.2958,-0.220255,0.233699,0.746702,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -18.04250465577934, ""B"": -17.29580234986497, ""C"": -19.112737016752362, ""D"": -19.24198146397248}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
