threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.451,1262,16,0.155629,A,A,A,True,True,True,-12.3911,-14.0496,-1.65858,6.80929,5.81921,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -14.049639787132037, ""B"": -25.244475680636242, ""C"": -19.904391415184364, ""D"": -19.86884749321689}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.451,1264,16,0.032711,A,A,A,True,True,True,-15.4029,-15.9497,-0.546773,4.77104,4.08969,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -15.949704161612317, ""B"": -21.83683662194744, ""C"": -20.03938969806768, ""D"": -23.10096328848158}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.451,1265,16,0.0309976,A,A,A,True,True,True,-16.6898,-17.3654,-0.675565,1.31968,1.97697,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -17.365402002818882, ""B"": -19.342371122169425, ""C"": -20.079137688560877, ""D"": -22.154538303613663}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.451,1257,16,0.0299086,A,A,A,True,True,True,-12.7524,-12.9767,-0.224224,5.57247,5.38664,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.976666712202132, ""B"": -18.36330756917596, ""C"": -25.332778092939407, ""D"": -21.724931117147207}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.451,1258,16,0.0303407,A,A,A,True,True,True,-15.4685,-15.3157,0.152821,2.53602,2.985,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -15.315712088136934, ""B"": -26.31051125191152, ""C"": -18.300711615011096, ""D"": -22.88356920797378}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.451,1265,16,0.0295903,A,A,A,True,True,True,-15.4863,-17.4123,-1.92595,2.33835,0.654922,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -17.41226134088356, ""B"": -20.2190009127371, ""C"": -29.48197144875303, ""D"": -18.067183372331783}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.451,1261,16,0.0300116,A,A,A,True,True,True,-13.9754,-13.6792,0.296157,2.42178,2.63424,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.67923153564334, ""B"": -16.313469867437107, ""C"": -18.502706258092076, ""D"": -17.441588898875352}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.451,1272,16,0.029812,A,A,A,True,True,True,-13.7068,-15.5675,-1.86072,1.93063,0.665395,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -15.567491670954041, ""B"": -16.232886761441478, ""C"": -20.11593866936164, ""D"": -18.775546112578013}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.451,1269,16,0.0310425,A,A,A,True,True,True,-14.9388,-16.8341,-1.89523,1.38537,1.4205,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -16.834063020680333, ""B"": -18.254566993189655, ""C"": -20.078562662005424, ""D"": -22.031228343956172}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.451,1278,16,0.0290988,B,A,B,True,False,False,-15.8089,-15.5168,0.292091,0.63258,-0.0499672,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.46687747258693, ""B"": -15.516844694706379, ""C"": -19.76304068470199, ""D"": -15.972648510942236}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
