threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.921,1262,10,0.147696,A,A,A,True,True,True,-12.3911,-10.3317,2.05937,6.80929,7.84086,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.331692372987163, ""B"": -22.881750851869583, ""C"": -18.17254855867941, ""D"": -19.890389231211884}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.921,1264,10,0.0354835,A,A,A,True,True,True,-15.4029,-14.5742,0.828708,4.77104,5.24756,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.574222824587196, ""B"": -20.331368397502956, ""C"": -19.821779965539463, ""D"": -23.61711079131055}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.921,1265,10,0.0356823,A,A,A,True,True,True,-16.6898,-15.0534,1.63648,1.31968,0.667362,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.05335928441491, ""B"": -15.720721133518964, ""C"": -20.672157179411442, ""D"": -22.137719735503197}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.921,1257,10,0.035998,A,A,A,True,True,True,-12.7524,-11.7052,1.04727,5.57247,6.52988,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.705172594171017, ""B"": -18.23505313321948, ""C"": -24.36455960944295, ""D"": -20.97632195800543}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.921,1258,10,0.03645,A,A,A,True,True,True,-15.4685,-16.5192,-1.05067,2.53602,1.02696,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.519200338516384, ""B"": -25.583839401602745, ""C"": -17.546155899763107, ""D"": -22.185615013353527}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.921,1265,10,0.0355692,A,A,A,True,True,True,-15.4863,-15.0642,0.42209,2.33835,2.13848,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -15.064221909677144, ""B"": -18.853590449958574, ""C"": -30.656417788006365, ""D"": -17.20270442403853}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.921,1261,10,0.0357414,A,A,A,True,True,True,-13.9754,-12.7937,1.18168,2.42178,2.61752,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.793709416873753, ""B"": -15.411229938943961, ""C"": -16.287408743752167, ""D"": -17.176785306058946}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.921,1272,10,0.0366168,A,A,A,True,True,True,-13.7068,-12.9434,0.763326,1.93063,1.67377,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -12.943446827572188, ""B"": -14.617221398744732, ""C"": -16.33423576518544, ""D"": -17.227944637430483}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.921,1269,10,0.0390712,A,A,A,True,True,True,-14.9388,-14.6008,0.337985,1.38537,1.28183,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.600844982953276, ""B"": -15.882677173503907, ""C"": -17.22491680830717, ""D"": -18.463759212521836}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.921,1278,10,0.0353645,B,B,B,True,True,True,-15.8089,-14.8261,0.982841,0.63258,1.60141,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.427501423517242, ""B"": -14.826095404627267, ""C"": -21.004751589687658, ""D"": -17.078112176270224}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.921,1277,10,0.0355179,A,A,A,True,True,True,-14.712,-15.0509,-0.33896,1.81889,1.58352,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.050936627056217, ""B"": -16.634454342492973, ""C"": -16.870481475489214, ""D"": -22.3219948313199}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.921,1266,10,0.0353568,B,B,B,True,True,True,-15.1276,-15.067,0.0606252,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.31700608250685, ""B"": -15.06700608250685, ""C"": -18.850948603329016, ""D"": -23.291715812752955}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.921,1267,10,0.0352391,B,B,B,True,True,True,-17.0755,-17.3305,-0.254995,0.233699,0.352675,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.68321763057611, ""B"": -17.330542913769023, ""C"": -19.376222109422088, ""D"": -19.389226363040507}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
