threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.4,1262,44,0.224919,A,A,A,True,True,True,-12.3911,-18.3174,-5.92633,6.80929,2.20498,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -18.317389802716207, ""B"": -23.639070281758904, ""C"": -21.11997885722667, ""D"": -20.522373988642357}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.4,1264,44,0.11501,A,C,A,True,False,False,-15.4029,-29.2957,-13.8928,4.77104,-8.07033,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -29.29574005305767, ""B"": -22.878641453275122, ""C"": -21.2254094715463, ""D"": -23.33435962582007}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.4,1265,44,0.119785,A,A,A,True,True,True,-16.6898,-20.3963,-3.70643,1.31968,0.837146,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -20.39626532397233, ""B"": -23.263817614293657, ""C"": -21.23341105977306, ""D"": -24.40539264678955}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.4,1257,44,0.113712,A,A,A,True,True,True,-12.7524,-14.8348,-2.08232,5.57247,4.56937,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -14.834762753918767, ""B"": -19.404136084020138, ""C"": -27.004350347444415, ""D"": -22.457091573625803}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.4,1258,44,0.112564,A,A,A,True,True,True,-15.4685,-15.7234,-0.254817,2.53602,1.11975,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -15.723350673913956, ""B"": -27.271103471517563, ""C"": -16.843102276325226, ""D"": -22.67009310424328}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.4,1265,44,0.111407,A,D,A,True,False,False,-15.4863,-20.9123,-5.42595,2.33835,-2.58547,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -20.912261554971337, ""B"": -20.63322765752673, ""C"": -30.530863146297634, ""D"": -18.326795633882284}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.4,1261,44,0.113782,A,A,A,True,True,True,-13.9754,-13.6456,0.329776,2.42178,2.50339,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.645612498279661, ""B"": -17.89743673124576, ""C"": -16.148999427445233, ""D"": -20.948084758996174}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.4,1272,44,0.110719,A,B,A,True,False,False,-13.7068,-17.3487,-3.6419,1.93063,-0.404414,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -17.34866915924067, ""B"": -16.944254764704965, ""C"": -19.896793118678033, ""D"": -23.64781848527491}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.4,1269,44,0.113467,A,A,A,True,True,True,-14.9388,-17.1955,-2.25668,1.38537,2.7591,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -17.195513884536922, ""B"": -19.954616114780947, ""C"": -20.833554044365883, ""D"": -26.9037029389292}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.45,1262,27,0.070969,A,A,A,True,True,True,-12.3911,-15.0828,-2.69173,6.80929,4.74977,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -15.082797433220549, ""B"": -24.07720890082419, ""C"": -19.83256314659957, ""D"": -20.177266941900598}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
