threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question,default_compressed_heads,adaptive_dropped_heads,effective_entry_saving_fraction
0.901,1262,80,0.490269,A,A,A,True,True,True,-12.3911,-7.91632,4.47474,6.80929,10.5132,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -7.916324499994516, ""B"": -22.85646507097408, ""C"": -18.42950474191457, ""D"": -19.756501871554065}",text_only,route_phase1,Which method is listed as Phase 1 in the route?,80,0,0.177455
0.901,1264,80,0.369369,A,A,A,True,True,True,-15.4029,-13.4033,1.99963,4.77104,4.97791,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -13.403296828269958, ""B"": -19.736208497512052, ""C"": -18.381205915356986, ""D"": -22.489961566054262}",text_only,route_phase2,Which item is listed as Phase 2 in the route?,80,0,0.177455
0.901,1265,79,0.358201,A,A,A,True,True,True,-16.6898,-15.6995,0.99036,1.31968,0.350349,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.6994769112207, ""B"": -16.04982570715947, ""C"": -20.905813668265182, ""D"": -20.946709856390953}",text_only,route_phase3,Which method is listed as Phase 3 in the route?,80,1,0.176339
0.901,1257,80,0.370624,A,A,A,True,True,True,-12.7524,-12.6169,0.135576,5.57247,7.02153,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.616867175325751, ""B"": -19.638401050120592, ""C"": -25.400107745081186, ""D"": -20.34280559234321}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?,80,0,0.177455
0.901,1258,79,0.3603,A,A,A,True,True,True,-15.4685,-18.3727,-2.90417,2.53602,0.034438,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -18.372700817883015, ""B"": -27.37847888469696, ""C"": -18.407138854265213, ""D"": -22.13336604088545}",text_only,quest_decode_selection,"During decode, what does Quest select?",80,1,0.176339
0.901,1265,80,0.358786,A,A,A,True,True,True,-15.4863,-12.166,3.3203,2.33835,4.57956,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -12.166009669948835, ""B"": -19.236054653301835, ""C"": -28.693224065820687, ""D"": -16.745572544634342}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?,80,0,0.177455
0.901,1261,80,0.368621,A,A,A,True,True,True,-13.9754,-11.9936,1.98182,2.42178,2.59476,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -11.993572941049933, ""B"": -14.588330010388745, ""C"": -15.842029985040426, ""D"": -16.55469572378172}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?,80,0,0.177455
0.901,1272,80,0.368282,A,A,A,True,True,True,-13.7068,-10.6622,3.04462,1.93063,2.33966,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -10.662153558914724, ""B"": -13.879140611796174, ""C"": -13.001815660507418, ""D"": -15.000181360919669}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?,80,0,0.177455
0.901,1269,80,0.362939,A,A,A,True,True,True,-14.9388,-12.9805,1.95833,1.38537,0.848674,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -12.980502719030483, ""B"": -13.82917630058364, ""C"": -14.834140967577696, ""D"": -17.06055913446471}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?,80,0,0.177455
0.901,1278,80,0.359131,B,B,B,True,True,True,-15.8089,-13.7078,2.10111,0.63258,3.27641,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.984239466954023, ""B"": -13.70782515310566, ""C"": -19.17345027954434, ""D"": -17.777074684621766}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?,80,0,0.177455
0.901,1277,80,0.358913,A,A,A,True,True,True,-14.712,-15.3981,-0.686112,1.81889,2.28973,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.398088568414096, ""B"": -17.970390244445298, ""C"": -17.687819512560964, ""D"": -21.675792440539226}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?,80,0,0.177455
0.901,1266,79,0.345696,B,B,B,True,True,True,-15.1276,-15.2085,-0.0808323,0.25,0.125,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.333463575690985, ""B"": -15.208463575690985, ""C"": -17.750584108172916, ""D"": -21.542134825023822}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?,80,1,0.176339
0.901,1267,79,0.35138,B,B,B,True,True,True,-17.0755,-17.3833,-0.307716,0.233699,0.0320492,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.41531275078887, ""B"": -17.38326357506594, ""C"": -19.03072805982083, ""D"": -20.603916470427066}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?,80,1,0.176339
