threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.901,1262,62,0.431451,A,A,A,True,True,True,-12.3911,-9.82585,2.56521,6.80929,7.79292,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -9.825850804627407, ""B"": -22.120232857298106, ""C"": -17.618774856906384, ""D"": -19.238990239537088}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.901,1264,62,0.280854,A,A,A,True,True,True,-15.4029,-13.7132,1.68975,4.77104,4.94755,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -13.713180330116302, ""B"": -19.934495508003465, ""C"": -18.660725402412936, ""D"": -22.655887459870428}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.901,1265,62,0.294438,A,A,A,True,True,True,-16.6898,-16.8359,-0.146023,1.31968,0.859995,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -16.835860098246485, ""B"": -17.6958555309684, ""C"": -20.277427828237705, ""D"": -20.462506763637066}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.901,1257,62,0.282674,A,A,A,True,True,True,-12.7524,-13.5994,-0.846994,5.57247,5.81161,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -13.599437247030437, ""B"": -19.411043856292963, ""C"": -24.574124176055193, ""D"": -20.7209896389395}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.901,1258,62,0.278672,A,A,A,True,True,True,-15.4685,-17.4009,-1.93241,2.53602,1.42465,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.400946620851755, ""B"": -27.41609524190426, ""C"": -18.825597494840622, ""D"": -22.480684373527765}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.901,1265,62,0.290867,A,A,A,True,True,True,-15.4863,-14.7928,0.693504,2.33835,1.11474,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -14.792807727208128, ""B"": -19.467432100442238, ""C"": -28.416886107064784, ""D"": -15.907547622919083}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.901,1261,62,0.287967,A,A,A,True,True,True,-13.9754,-13.3661,0.609258,2.42178,2.06564,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.366130981594324, ""B"": -15.43177422274448, ""C"": -16.561439134180546, ""D"": -17.493976724246522}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.901,1272,62,0.279737,A,A,A,True,True,True,-13.7068,-11.7715,1.93531,1.93063,2.56391,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -11.771461436470418, ""B"": -14.456438419758342, ""C"": -14.335372499423102, ""D"": -16.83883690847506}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.901,1269,62,0.275442,A,A,A,True,True,True,-14.9388,-14.8569,0.081945,1.38537,1.30386,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.856884895838448, ""B"": -16.160746381312492, ""C"": -17.2850144430995, ""D"": -19.934930930379778}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.901,1278,62,0.271808,B,B,B,True,True,True,-15.8089,-13.6272,2.18175,0.63258,2.28067,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.90785629954189, ""B"": -13.627181553907576, ""C"": -19.22470858338056, ""D"": -16.83730691112578}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.901,1277,62,0.276079,A,A,A,True,True,True,-14.712,-15.1636,-0.45159,1.81889,1.13672,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.163566804549191, ""B"": -16.300283046701225, ""C"": -16.47137677203864, ""D"": -22.607459780061617}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.901,1266,62,0.279107,B,B,B,True,True,True,-15.1276,-15.7887,-0.661086,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -16.038717478048056, ""B"": -15.788717478048056, ""C"": -18.153961982679903, ""D"": -21.870871990104206}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.901,1267,62,0.271885,B,B,B,True,True,True,-17.0755,-17.2416,-0.166089,0.233699,0.544904,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.786541609675623, ""B"": -17.241637195467774, ""C"": -19.17056597257033, ""D"": -20.083997376495972}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
