threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.35,1262,16,0.179288,A,A,A,True,True,True,-12.3911,-13.0572,-0.666091,6.80929,6.25781,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.057154428155627, ""B"": -24.780339024960995, ""C"": -19.31496580503881, ""D"": -20.36398014955921}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.35,1264,16,0.053372,A,A,A,True,True,True,-15.4029,-15.6662,-0.263274,4.77104,4.4032,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -15.666205178589735, ""B"": -21.269689998975082, ""C"": -20.069403399713337, ""D"": -24.26677098061191}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.35,1265,16,0.0440761,A,A,A,True,True,True,-16.6898,-19.5931,-2.90327,1.31968,1.95139,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -19.593105969019234, ""B"": -21.700994091981556, ""C"": -21.544499732292024, ""D"": -23.60069712996483}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.35,1257,16,0.0434263,A,A,A,True,True,True,-12.7524,-12.3099,0.442586,5.57247,5.64602,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.309856664389372, ""B"": -17.955877907574177, ""C"": -24.86238969117403, ""D"": -22.60911676287651}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.35,1258,16,0.0442634,A,A,A,True,True,True,-15.4685,-17.0379,-1.56937,2.53602,0.117395,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.037904233671725, ""B"": -26.368235427886248, ""C"": -17.155299611389637, ""D"": -22.843941394239664}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.35,1265,16,0.0438927,A,D,A,True,False,False,-15.4863,-18.3251,-2.8388,2.33835,-0.297593,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -18.32511040614918, ""B"": -18.81984675489366, ""C"": -29.965375635772943, ""D"": -18.027517080307007}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.35,1261,16,0.0424266,A,A,A,True,True,True,-13.9754,-13.4075,0.567911,2.42178,2.60353,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.407477931817994, ""B"": -16.01100641526682, ""C"": -18.336007768288255, ""D"": -17.896051344338503}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.35,1272,16,0.0443831,A,A,A,True,True,True,-13.7068,-15.1204,-1.41358,1.93063,0.813978,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -15.12035123505484, ""B"": -15.934329587922548, ""C"": -19.393428647192195, ""D"": -22.14183490355208}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.35,1269,16,0.0437711,A,A,A,True,True,True,-14.9388,-14.8734,0.0653883,1.38537,3.1534,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.873441659554373, ""B"": -18.026845183354453, ""C"": -18.06312876008451, ""D"": -23.55947747686878}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.4,1262,16,0.0451588,A,A,A,True,True,True,-12.3911,-14.5869,-2.19582,6.80929,4.64298,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -14.586881611816352, ""B"": -22.82537177344784, ""C"": -19.229862027801573, ""D"": -19.605927912823972}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.4,1264,16,0.0441881,A,A,A,True,True,True,-15.4029,-16.2197,-0.816783,4.77104,4.02875,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -16.21971426322125, ""B"": -20.89689852434458, ""C"": -20.248461111914366, ""D"": -22.46643305696489}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.4,1265,16,0.0430996,A,A,A,True,True,True,-16.6898,-17.9019,-1.21208,1.31968,1.79199,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -17.901919631054625, ""B"": -21.263476043153787, ""C"": -19.693908761408238, ""D"": -21.2877649217844}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.4,1257,16,0.044471,A,A,A,True,True,True,-12.7524,-13.4075,-0.655017,5.57247,4.95771,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -13.407460385002196, ""B"": -18.36517161130905, ""C"": -24.29959572479129, ""D"": -21.662260523065925}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.4,1258,16,0.0428085,A,A,A,True,True,True,-15.4685,-14.369,1.09952,2.53602,3.2714,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -14.369012356852181, ""B"": -24.2385644800961, ""C"": -17.640414806082845, ""D"": -21.81060459278524}",text_only,quest_decode_selection,"During decode, what does Quest select?"
