threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.45,1262,15,0.1876,A,A,A,True,True,True,-12.3911,-13.9656,-1.57451,6.80929,5.74947,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.965577582566766, ""B"": -24.244352015201002, ""C"": -19.715050750644878, ""D"": -19.864750613942306}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.45,1264,15,0.0280974,A,A,A,True,True,True,-15.4029,-15.7085,-0.305594,4.77104,4.09702,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -15.708525121212006, ""B"": -21.064729924277344, ""C"": -19.805547915166244, ""D"": -22.948497362522176}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.45,1265,15,0.0278144,A,A,A,True,True,True,-16.6898,-16.3813,0.308576,1.31968,2.7034,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -16.381260483176447, ""B"": -19.084656377322972, ""C"": -20.095944206012064, ""D"": -21.927504688501358}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.45,1257,15,0.0270348,A,A,A,True,True,True,-12.7524,-12.5114,0.241059,5.57247,5.72309,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.511384059675038, ""B"": -18.234477873891592, ""C"": -25.140724227763712, ""D"": -21.281986300833523}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.45,1258,15,0.0274471,A,A,A,True,True,True,-15.4685,-15.2393,0.229241,2.53602,2.9875,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -15.239292488549836, ""B"": -26.20475214533508, ""C"": -18.226796498522162, ""D"": -22.543091520667076}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.45,1265,15,0.0290519,A,A,A,True,True,True,-15.4863,-17.0127,-1.52642,2.33835,1.07308,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -17.01272685546428, ""B"": -19.859638808760792, ""C"": -29.452398772584274, ""D"": -18.0858027524082}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.45,1261,15,0.0289949,A,A,A,True,True,True,-13.9754,-13.5444,0.431037,2.42178,2.64868,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.544351991266012, ""B"": -16.19302818620463, ""C"": -18.06988140521571, ""D"": -17.570989154696008}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.45,1272,15,0.0276146,A,A,A,True,True,True,-13.7068,-15.1866,-1.4798,1.93063,0.977076,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -15.186577389547892, ""B"": -16.163653731608065, ""C"": -20.115334642352536, ""D"": -18.27895664708194}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.45,1269,15,0.0276759,A,A,A,True,True,True,-14.9388,-16.8067,-1.8679,1.38537,1.37366,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -16.80673174894764, ""B"": -18.180396125979314, ""C"": -19.997190074063838, ""D"": -20.835362687706947}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.45,1278,15,0.0270219,B,B,B,True,True,True,-15.8089,-15.644,0.164986,0.63258,0.200463,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.844413058133796, ""B"": -15.643950266065076, ""C"": -20.009428831297555, ""D"": -16.317322704708204}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.45,1277,15,0.0274788,A,A,A,True,True,True,-14.712,-15.0843,-0.372364,1.81889,1.94384,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.084341215639142, ""B"": -17.02817660541041, ""C"": -17.759038569172844, ""D"": -22.61882630409673}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.45,1266,15,0.0269118,B,B,B,True,True,True,-15.1276,-15.2232,-0.0955613,0.25,0.375,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.59819259820506, ""B"": -15.22319259820506, ""C"": -19.093407028532965, ""D"": -23.002579255378805}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.45,1267,15,0.0293923,B,B,B,True,True,True,-17.0755,-17.3311,-0.255587,0.233699,0.208532,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.539666716184, ""B"": -17.331134386433405, ""C"": -18.34128818102181, ""D"": -20.316498934291303}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
