threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.942,1262,12,0.158765,A,A,A,True,True,True,-12.3911,-10.1872,2.20385,6.80929,8.00915,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.187213482087827, ""B"": -22.555082836421207, ""C"": -18.196365065057762, ""D"": -19.29395157997351}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.942,1264,12,0.0422884,A,A,A,True,True,True,-15.4029,-14.723,0.679903,4.77104,4.89632,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.723027888918296, ""B"": -20.470185814465367, ""C"": -19.619348343927413, ""D"": -22.477678012524848}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.942,1265,12,0.0420885,A,A,A,True,True,True,-16.6898,-14.452,2.23783,1.31968,0.56641,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -14.452009850880131, ""B"": -15.018419618281769, ""C"": -20.16196146217044, ""D"": -21.573207199573517}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.942,1257,12,0.0420596,A,A,A,True,True,True,-12.7524,-12.6322,0.120261,5.57247,5.9756,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.632181821856648, ""B"": -18.607785999774933, ""C"": -24.777549847960472, ""D"": -20.989711220376194}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.942,1258,12,0.0423924,A,A,A,True,True,True,-15.4685,-17.1014,-1.63291,2.53602,0.544661,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.10144040780142, ""B"": -25.72388644516468, ""C"": -17.646101519465446, ""D"": -21.99296224396676}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.942,1265,12,0.0420164,A,A,A,True,True,True,-15.4863,-15.2734,0.212942,2.33835,1.44155,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -15.273369746864773, ""B"": -19.145178968203254, ""C"": -29.769512746483088, ""D"": -16.714916206896305}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.942,1261,12,0.0418812,A,A,A,True,True,True,-13.9754,-12.9005,1.07485,2.42178,2.58338,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.900538377463818, ""B"": -15.483916585531006, ""C"": -16.360312178963795, ""D"": -17.49831992175018}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.942,1272,12,0.0424726,A,A,A,True,True,True,-13.7068,-13.2156,0.491125,1.93063,1.71596,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -13.215648206136393, ""B"": -14.931603599063237, ""C"": -16.323567677056417, ""D"": -17.376761709543644}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.942,1269,12,0.0421119,A,A,A,True,True,True,-14.9388,-15.7082,-0.769345,1.38537,1.40696,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -15.708174656669144, ""B"": -17.115138801607827, ""C"": -18.322892263531685, ""D"": -19.32148050912656}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.942,1278,12,0.0423511,B,B,B,True,True,True,-15.8089,-14.9685,0.840414,0.63258,1.41001,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.37853627302684, ""B"": -14.96852157774265, ""C"": -21.02591938736441, ""D"": -17.322422061348334}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.942,1277,12,0.0418757,A,A,A,True,True,True,-14.712,-15.2121,-0.500144,1.81889,1.55227,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.212120958123705, ""B"": -17.43283259536838, ""C"": -16.764392354292795, ""D"": -22.73907473287545}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.942,1266,12,0.0422612,B,B,B,True,True,True,-15.1276,-15.2345,-0.106853,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.484484711429104, ""B"": -15.234484711429104, ""C"": -18.588990975917113, ""D"": -22.63959930994315}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.942,1267,12,0.042526,B,B,B,True,True,True,-17.0755,-17.6727,-0.597148,0.233699,0.936018,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -18.608713567693485, ""B"": -17.672695553817903, ""C"": -19.36200844682753, ""D"": -19.198900325689465}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
