threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.99,1290,0,0,C,C,A,False,False,True,-23.6545,-23.6545,0,-2.7109,-2.7109,"{""A"": -23.65451659366363, ""B"": -25.114164205413545, ""C"": -20.94361220371502, ""D"": -22.58114773617126}","{""A"": -23.65451659366363, ""B"": -25.114164205413545, ""C"": -20.94361220371502, ""D"": -22.58114773617126}",text_only,qwen3_8b_goal,What was the main goal of the Qwen3-8B validation section?
0.99,1275,0,0,B,B,B,True,True,True,-20.6587,-20.6587,0,0.413586,0.413586,"{""A"": -24.5740814156743, ""B"": -20.65869679205207, ""C"": -31.175994265126064, ""D"": -21.072282791137695}","{""A"": -24.5740814156743, ""B"": -20.65869679205207, ""C"": -31.175994265126064, ""D"": -21.072282791137695}",text_only,qwen3_8b_model_choice,Which model was chosen because Qwen3 had no 7B model on modelscope?
0.99,1283,0,0,A,A,A,True,True,True,-22.5848,-22.5848,0,6.75434,6.75434,"{""A"": -22.584842625975853, ""B"": -36.77269817094202, ""C"": -38.83387265968122, ""D"": -29.339184341326472}","{""A"": -22.584842625975853, ""B"": -36.77269817094202, ""C"": -38.83387265968122, ""D"": -29.339184341326472}",text_only,w4a8_failure_symptom,What output symptom showed W4A8 and W4A8C4 collapsed on Qwen3-8B?
0.99,1288,0,0,C,C,B,False,False,True,-20.6836,-20.6836,0,-2.00454,-2.00454,"{""A"": -25.183522818371785, ""B"": -20.683592115156785, ""C"": -18.679051479382906, ""D"": -26.107355912972707}","{""A"": -25.183522818371785, ""B"": -20.683592115156785, ""C"": -18.679051479382906, ""D"": -26.107355912972707}",text_only,c4_quality_boundary,What did the Qwen3-8B results imply about the C4-only path?
0.99,1272,0,0,A,A,A,True,True,True,-21.6661,-21.6661,0,6.56457,6.56457,"{""A"": -21.66607123619906, ""B"": -30.33539492503769, ""C"": -32.462249424133915, ""D"": -28.2306431629695}","{""A"": -21.66607123619906, ""B"": -30.33539492503769, ""C"": -32.462249424133915, ""D"": -28.2306431629695}",text_only,tp_memory_correction,What was corrected about tensor parallel memory measurement?
0.99,1260,0,0,C,C,B,False,False,True,-23.964,-23.964,0,-2.08761,-2.08761,"{""A"": -26.60281431794283, ""B"": -23.96403675316833, ""C"": -21.876425292481144, ""D"": -22.250315643315844}","{""A"": -26.60281431794283, ""B"": -23.96403675316833, ""C"": -21.876425292481144, ""D"": -22.250315643315844}",text_only,weight_mem_metric,Which metric was added to observe whether TP split model weights?
0.99,1270,0,0,A,A,A,True,True,True,-20.4839,-20.4839,0,1.37143,1.37143,"{""A"": -20.483919384423643, ""B"": -21.85535434387566, ""C"": -26.60863067326136, ""D"": -22.2348072026507}","{""A"": -20.483919384423643, ""B"": -21.85535434387566, ""C"": -26.60863067326136, ""D"": -22.2348072026507}",text_only,tp_true_weight_split,"After separating weight and KV cache memory, what did the document conclude about TP?"
0.99,1282,0,0,A,A,A,True,True,True,-19.3059,-19.3059,0,2.11761,2.11761,"{""A"": -19.30589365769447, ""B"": -21.42350848193746, ""C"": -26.19674018338992, ""D"": -31.109810406676843}","{""A"": -19.30589365769447, ""B"": -21.42350848193746, ""C"": -26.19674018338992, ""D"": -31.109810406676843}",text_only,gpu_utilization_semantics,What is the corrected interpretation of gpu_memory_utilization?
0.99,1271,0,0,C,C,A,False,False,True,-22.2826,-22.2826,0,-4.54755,-4.54755,"{""A"": -22.282622115545557, ""B"": -20.075973904982675, ""C"": -17.73507282999344, ""D"": -21.661495863168966}","{""A"": -22.282622115545557, ""B"": -20.075973904982675, ""C"": -17.73507282999344, ""D"": -21.661495863168966}",text_only,w4a8_root_cause_hypothesis,Which issue was suspected in the W4A8 numerical collapse?
0.99,1274,0,0,C,C,A,False,False,True,-25.0339,-25.0339,0,-4.85829,-4.85829,"{""A"": -25.03392396448635, ""B"": -20.987121714861125, ""C"": -20.17563717132134, ""D"": -22.452844420533893}","{""A"": -25.03392396448635, ""B"": -20.987121714861125, ""C"": -20.17563717132134, ""D"": -22.452844420533893}",text_only,act_quant_fix,What activation fake-quantization fix was introduced?
0.99,1264,0,0,C,C,B,False,False,True,-17.0767,-17.0767,0,-3.19626,-3.19626,"{""A"": -14.317608677200042, ""B"": -17.076689064502716, ""C"": -13.880427360534668, ""D"": -14.898576805891935}","{""A"": -14.317608677200042, ""B"": -17.076689064502716, ""C"": -13.880427360534668, ""D"": -14.898576805891935}",text_only,w4_group_size_fix,Which W4 group size was needed for the 8B lightweight fix?
0.99,1275,0,0,A,A,A,True,True,True,-20.6727,-20.6727,0,2.37589,2.37589,"{""A"": -20.672714123710193, ""B"": -23.048606415826725, ""C"": -40.07618236438975, ""D"": -28.099702352818895}","{""A"": -20.672714123710193, ""B"": -23.048606415826725, ""C"": -40.07618236438975, ""D"": -28.099702352818895}",text_only,smoothquant_status,How did the document frame a full SmoothQuant approach at that point?
