threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.45,1262,20,0.163732,A,A,A,True,True,True,-12.3911,-13.9227,-1.53165,6.80929,6.38763,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.922711906780023, ""B"": -25.897750383242965, ""C"": -20.31033953744918, ""D"": -20.598027606582036}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.45,1264,20,0.050592,A,A,A,True,True,True,-15.4029,-15.9838,-0.580823,4.77104,4.0114,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -15.98375367373228, ""B"": -21.201646698968943, ""C"": -19.995150888804346, ""D"": -23.65037649666192}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.45,1265,20,0.0534629,A,A,A,True,True,True,-16.6898,-18.7403,-2.05048,1.31968,0.785937,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -18.740315266652033, ""B"": -19.526252243565978, ""C"": -21.167705437343102, ""D"": -23.031972661614418}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.45,1257,20,0.0521632,A,A,A,True,True,True,-12.7524,-11.072,1.68044,5.57247,6.68999,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.071999687701464, ""B"": -17.761987019330263, ""C"": -23.03398106060922, ""D"": -21.498252257704735}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.45,1258,20,0.0511213,A,A,A,True,True,True,-15.4685,-16.966,-1.49742,2.53602,1.2054,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.965957666980103, ""B"": -25.684630988165736, ""C"": -18.171361483633518, ""D"": -23.220485302619636}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.45,1265,20,0.0514352,A,D,A,True,False,False,-15.4863,-18.1591,-2.67276,2.33835,-0.265082,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -18.159069449990056, ""B"": -20.473162055015564, ""C"": -29.973605981096625, ""D"": -17.893987184856087}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.45,1261,20,0.0522221,A,A,A,True,True,True,-13.9754,-13.3646,0.610784,2.42178,3.07657,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.364604512229562, ""B"": -16.441176026576613, ""C"": -18.818659411277622, ""D"": -17.946749349747734}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.45,1272,20,0.0522239,A,B,A,True,False,False,-13.7068,-16.7823,-3.07554,1.93063,-0.234041,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -16.78231575871905, ""B"": -16.548275020337314, ""C"": -21.285932138212956, ""D"": -24.185268530913163}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.45,1269,20,0.0652616,A,A,A,True,True,True,-14.9388,-15.438,-0.499161,1.38537,2.72153,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -15.437990592676215, ""B"": -18.159515862520493, ""C"": -18.985626822337508, ""D"": -23.503047926351428}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.5,1262,11,0.0313686,A,A,A,True,True,True,-12.3911,-13.3959,-1.00479,6.80929,6.56045,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.395853260721196, ""B"": -24.855931392870843, ""C"": -19.956303596496582, ""D"": -20.844216179812065}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
